method,skill,run,Trial_1_Model,Trial_2_Model,Trial_3_Model,Trial_4_Model,Trial_5_Model,Trial_1_SVM,Trial_2_SVM,Trial_3_SVM,Trial_4_SVM,Trial_5_SVM,Acc_Full,Acc_Fea
ResNet,Knot,1,0.7411765,0.48765433,0.7122642,0.6956522,0.72988504,0.62941176,0.47530866,0.4764151,0.76328504,0.70689654,0.67332643,0.6102634
ResNet,Needle,1,0.52140075,0.5,0.53697747,0.48788926,0.59615386,0.28793773,0.21031746,0.38263667,0.39100346,0.32692307,0.5284843,0.3197637
ResNet,Suture,1,0.6649573,0.6101695,0.5317647,0.5684754,0.57988167,0.50940174,0.4915254,0.4,0.2997416,0.52662724,0.59104973,0.4454592
ResNet,Knot,2,0.6764706,0.4691358,0.6886792,0.62801933,0.63793105,0.5882353,0.37654322,0.5990566,0.71497583,0.5632184,0.6200472,0.56840587
ResNet,Needle,2,0.58365756,0.48412699,0.54662377,0.40484428,0.61538464,0.5019455,0.2579365,0.26045015,0.21107267,0.3221154,0.5269275,0.31070405
ResNet,Suture,2,0.74700856,0.5141243,0.52705884,0.4883721,0.6449704,0.71282053,0.259887,0.34117648,0.4031008,0.51775146,0.58430684,0.44694725
ResNet,Knot,3,0.8,0.5185185,0.7783019,0.71014494,0.5632184,0.60588235,0.2037037,0.5518868,0.705314,0.31609195,0.67403674,0.47657576
ResNet,Needle,3,0.33463034,0.48809522,0.414791,0.5294118,0.6298077,0.19455253,0.07936508,0.21221864,0.29065743,0.5192308,0.4793472,0.2592049
ResNet,Suture,3,0.6991453,0.6214689,0.55058825,0.50904393,0.5857988,0.64615387,0.4124294,0.56941175,0.37726098,0.38757396,0.593209,0.478566
ResNet,Knot,4,0.7470588,0.46296296,0.7971698,0.705314,0.5862069,0.7176471,0.3888889,0.7971698,0.57004833,0.48850575,0.6597425,0.592452
ResNet,Needle,4,0.5875486,0.5714286,0.4630225,0.5294118,0.5576923,0.6264591,0.20634921,0.16720258,0.43944636,0.45673078,0.54182076,0.37923762
ResNet,Suture,4,0.6923077,0.5875706,0.5294118,0.6020672,0.62721896,0.5470086,0.40960452,0.3552941,0.32041344,0.4852071,0.60771525,0.42350554
ResNet,Knot,5,0.7588235,0.60493827,0.745283,0.7826087,0.62068963,0.67058825,0.3888889,0.6226415,0.7777778,0.61494255,0.70246863,0.61496776
ResNet,Needle,5,0.51361865,0.63492066,0.54340833,0.52595156,0.59615386,0.52140075,0.071428575,0.3215434,0.43252596,0.41346154,0.5628106,0.35207206
ResNet,Suture,5,0.73846155,0.6497175,0.5247059,0.5167959,0.61538464,0.73504275,0.5677966,0.5176471,0.26614988,0.3816568,0.6090131,0.4936586
CNN,Knot,1,0.65882355,0.48765433,0.6886792,0.7246377,0.64942527,0.7058824,0.41975307,0.5,0.62801933,0.5862069,0.64184403,0.5679723
CNN,Needle,1,0.47470817,0.5714286,0.42765275,0.61937714,0.6298077,0.40466926,0.043650795,0.21864952,0.39100346,0.45673078,0.5445949,0.30294076
CNN,Suture,1,0.6700855,0.59039545,0.6117647,0.5142119,0.591716,0.6632479,0.3983051,0.36941177,0.34366927,0.41420117,0.5956347,0.43776703
CNN,Knot,2,0.6647059,0.5308642,0.6981132,0.7004831,0.74712646,0.59411764,0.27160493,0.5801887,0.7004831,0.40229884,0.66825855,0.5097386
CNN,Needle,2,0.43579766,0.46825397,0.46945336,0.51903117,0.625,0.23346303,0.083333336,0.2636656,0.34602076,0.48076922,0.50350726,0.2814504
CNN,Suture,2,0.72820514,0.5508475,0.6164706,0.5684754,0.5532544,0.5589744,0.37570623,0.33647057,0.28165373,0.45266274,0.6034506,0.4010935
CNN,Knot,3,0.68235296,0.59876543,0.7264151,0.6425121,0.59770113,0.5588235,0.38271606,0.41037735,0.531401,0.46551725,0.64954937,0.46976703
CNN,Needle,3,0.6848249,0.6626984,0.41157556,0.5017301,0.65384614,0.22957198,0.26587301,0.22829582,0.42214534,0.42307693,0.58293504,0.31379262
CNN,Suture,3,0.71794873,0.56497175,0.6164706,0.5167959,0.75443786,0.5777778,0.5508475,0.4,0.37209302,0.52366865,0.63412493,0.48487738
CNN,Knot,4,0.7117647,0.4691358,0.6933962,0.6763285,0.64942527,0.65294117,0.39506173,0.5235849,0.6763285,0.43678162,0.6400101,0.53693956
CNN,Needle,4,0.58365756,0.5714286,0.4340836,0.43252596,0.65865386,0.48249027,0.26587301,0.19614148,0.42906573,0.4278846,0.5360699,0.36029103
CNN,Suture,4,0.74188036,0.51129943,0.6164706,0.42118862,0.65384614,0.7025641,0.2937853,0.27764705,0.23772609,0.47928995,0.58893704,0.3982025
CNN,Knot,5,0.67058825,0.49382716,0.6745283,0.69082123,0.5229885,0.6117647,0.58641976,0.48584905,0.6763285,0.46551725,0.6105507,0.56517583
CNN,Needle,5,0.5097276,0.56349206,0.35691318,0.47750866,0.57211536,0.27626458,0.103174604,0.26045015,0.47750866,0.4471154,0.49595138,0.3129027
CNN,Suture,5,0.73846155,0.55932206,0.6164706,0.5684754,0.44970414,0.63760686,0.53107345,0.3764706,0.48062015,0.43786982,0.58648676,0.49272817
DCT,Knot,3,0.0,0.0,0.0,0.0,0.0,0.5714286,0.64625853,0.3469388,0.48387095,0.60509557,0.0,0.53071845
DCT,Needle,3,0.0,0.0,0.0,0.0,0.0,0.26455027,0.52040815,0.2578125,0.36220473,0.5406977,0.0,0.38913468
DCT,Suture,3,0.0,0.0,0.0,0.0,0.0,0.46254683,0.41196012,0.486631,0.6685879,0.34680134,0.0,0.47530544
DCT,Knot,4,0.0,0.0,0.0,0.0,0.0,0.5714286,0.64625853,0.3469388,0.48387095,0.60509557,0.0,0.53071845
DCT,Needle,4,0.0,0.0,0.0,0.0,0.0,0.26455027,0.52040815,0.2578125,0.36220473,0.5406977,0.0,0.38913468
DCT,Suture,4,0.0,0.0,0.0,0.0,0.0,0.46254683,0.41196012,0.486631,0.6685879,0.34680134,0.0,0.47530544
